Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Elizabeth Marquez,Choose move turn clear.,9,Box develop author.,2012-01-16,David Woodard,Kevin Esparza,978-1-218-58582-4,Sony Music,Kobalt Music Group,BMI,Classical,323442,False,gary84@example.net
Larry Wilson,Mrs attorney bill magazine another.,4,Purpose front at.,2015-05-30,Dr. Patricia Reilly,Grace Perez DDS,978-0-8393-6254-8,Universal Music Group,Sony/ATV Music Publishing,SESAC,Vallenato,808023,False,brooksmiguel@example.org
Elizabeth Cantrell,Ability positive.,5,Rate energy room build.,2010-03-13,Andrea Johnston,David Morris,978-0-357-32000-6,Warner Music Group,Universal Music Publishing Group,SESAC,Salsa,976633,False,michael74@example.org
Russell Miller,Else community set.,4,Good may.,2006-07-19,Richard Sullivan,Amy Hodge,978-1-4864-6901-7,Warner Music Group,Warner/Chappell Music,SESAC,Classical,386427,False,dtaylor@example.org
Teresa Lewis,Brother something traditional.,7,Few during pay.,2004-04-03,Charles Morton,Erica Hernandez,978-0-10-923827-6,EMI,Kobalt Music Group,SESAC,Country,215550,False,cameron74@example.com
Donna Paul,Admit recognize option benefit.,9,Each kind by.,2016-04-18,Eddie Mendoza,Monica Hall DDS,978-1-5303-5970-7,EMI,Kobalt Music Group,ASCAP,Pop,367608,False,xrosario@example.com
Cindy Griffin,Often west.,8,Different life when.,2006-02-28,Samantha Barnes,Jeremy Hill,978-1-59441-196-0,Sony Music,Universal Music Publishing Group,ASCAP,Vallenato,710133,False,jessicawilliams@example.org
Steven Wolf,Increase child.,5,Road source thank.,2021-10-04,Alexandria Griffin,Angela Jones,978-0-683-77054-4,Universal Music Group,Universal Music Publishing Group,SESAC,Rock,19742,False,simondonald@example.net
Stephanie Moss,Mention perhaps sure article.,7,Rest service many large.,2022-01-17,Andrew Medina,Jessica Bradley,978-0-481-54556-6,Universal Music Group,Universal Music Publishing Group,ASCAP,Salsa,683864,False,jamesvasquez@example.net
Loretta Berger,Lawyer central as population read.,1,Health heart kind.,2022-08-10,James Gilbert,Sarah Barnes,978-0-12-305659-7,Universal Music Group,Universal Music Publishing Group,ASCAP,Reggeton,454975,False,tina45@example.org
Anna Lewis,Remember quality all.,11,Decision mission movie.,2001-04-10,Lynn Obrien,Brandon Compton,978-0-304-74522-7,Warner Music Group,Universal Music Publishing Group,ASCAP,Merengue,582867,False,ashleygreen@example.net
Jeremiah Rhodes,Little would draw.,6,Industry real.,2009-08-16,Sharon Sanchez,Tyler Cook,978-0-480-88215-0,Universal Music Group,Sony/ATV Music Publishing,SESAC,Pop,295978,False,tammy54@example.net
Gina Garcia,Ability others community business.,1,Here draw institution.,2008-01-26,Michael Jones,Gabriel Vasquez,978-1-84340-333-3,Universal Music Group,Warner/Chappell Music,BMI,Vallenato,416200,False,nmadden@example.org
Chad Wong,Peace newspaper station thus.,2,Late common especially.,2003-04-18,Melissa Bennett,Paul Jones,978-0-11-597502-8,EMI,Warner/Chappell Music,SESAC,Salsa,530099,False,gina16@example.net
Kimberly Sloan,Which popular station.,10,Seven remember.,2021-08-18,Corey Miller,Gregory Smith,978-1-141-91621-4,Universal Music Group,Warner/Chappell Music,BMI,Reggeton,315957,False,powelljulie@example.org
Shirley Sawyer,Boy five design economic instead.,3,Personal shoulder.,2006-10-03,Richard Lopez,Joseph Green,978-1-07-653610-5,Warner Music Group,Kobalt Music Group,SESAC,Salsa,901425,False,tommyclark@example.com
Brittany Burke,Rise teach along.,4,Continue place participant.,2012-02-13,Darren Deleon,Rachael David,978-1-55345-525-7,EMI,Sony/ATV Music Publishing,BMI,Country,494034,False,hfitzpatrick@example.net
Carol Burton,Rise mother president subject.,10,Than current.,2002-08-01,Douglas Flores,Alicia Brown,978-0-534-26321-8,Universal Music Group,Kobalt Music Group,BMI,Hip Hop,268436,False,kennedyalexis@example.org
Wanda Rodriguez,Such later kitchen amount.,5,Consider political also.,2019-06-02,Nicole Williams,Jeremy Reyes,978-1-968112-68-4,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Vallenato,406052,False,michael96@example.net
Eric Rice,Whether charge there.,9,Rich middle.,2012-11-03,Becky Rodriguez,Gwendolyn Cox,978-0-506-43738-8,EMI,Universal Music Publishing Group,ASCAP,Vallenato,584525,False,ryanli@example.org
Christopher Edwards,Century religious Mrs news time.,4,Peace machine.,2008-08-17,Katie Harris,Leah Hawkins,978-1-55858-550-8,Sony Music,Kobalt Music Group,SESAC,Salsa,926251,False,kwilliamson@example.org
Roy Parker,None others industry why out.,12,Million thank party.,2023-09-09,Jeanne Hodges,Caleb Johnson,978-0-376-26696-5,Universal Music Group,Sony/ATV Music Publishing,SESAC,Jazz,257851,False,rogersapril@example.net
Stephanie Gomez,Suggest owner forget.,10,Once anything.,2015-05-22,Kenneth Powell,Matthew Williams,978-0-8101-5986-0,Warner Music Group,Universal Music Publishing Group,ASCAP,Classical,603831,False,zstokes@example.net
Laura Dixon,Along kid president together.,9,Southern war.,2010-10-14,Lindsay Crawford,Jonathan Smith,978-1-09-636800-7,Warner Music Group,Kobalt Music Group,ASCAP,Hip Hop,261627,False,umiller@example.net
Sharon Harris,Attention country approach each.,3,Lead international father.,2006-03-29,Thomas Crawford,Victoria Saunders,978-0-451-18817-5,Sony Music,Warner/Chappell Music,BMI,Country,136453,False,santostyrone@example.com
George Rivera,Technology hot how.,10,Campaign middle.,2000-02-09,James Wilkins,Carlos Zimmerman,978-1-60577-439-8,Warner Music Group,Universal Music Publishing Group,ASCAP,Reggae,20644,False,danielmalone@example.com
Sierra Davis,Business establish number.,7,Civil hard.,2019-10-30,Daryl Pineda,Brandon Vasquez,978-1-389-02227-2,Warner Music Group,Kobalt Music Group,SESAC,Electronic,506067,False,ashley55@example.org
Pamela Curry,Anyone through.,12,Third tell forget.,2018-07-02,Steven Navarro,Jeffrey Steele,978-1-4157-8102-9,Warner Music Group,Warner/Chappell Music,SESAC,Country,953240,False,spatterson@example.org
Amy Moore,Movie knowledge ability character.,4,Black out speech.,2011-09-02,Jacob Rhodes,Alfred Hart,978-1-229-52344-0,EMI,Sony/ATV Music Publishing,ASCAP,Country,470792,False,shannoncruz@example.net
Luis Sosa,Hit and smile owner.,2,Energy film myself.,2010-12-01,Matthew Baker,Nathan Nguyen,978-1-291-20782-8,Universal Music Group,Universal Music Publishing Group,SESAC,Rock,734533,False,mhebert@example.net
Amanda Tran,Book to.,1,War education.,2018-01-11,Jacob Perez,Mario Curry,978-0-477-91041-5,Universal Music Group,Kobalt Music Group,ASCAP,Electronic,293674,False,kimberlycastro@example.net
Jorge Clark Jr.,Why attention theory represent year.,8,Third arm concern.,2024-04-09,Mrs. Rebecca Miller,Jack Miller,978-1-60589-710-3,Sony Music,Kobalt Music Group,ASCAP,Electronic,927989,False,laurarobinson@example.net
Jessica Campos,Someone whether maybe yet.,10,Executive yeah apply.,2002-07-05,Madeline Phelps,Lisa Lewis,978-1-07-369869-1,Sony Music,Universal Music Publishing Group,ASCAP,Reggeton,194932,False,andreaschwartz@example.org
Ashley Barber,Thing board professor.,1,Magazine plant seem.,2010-07-26,Jody Sanchez,Angie Carney,978-1-229-46606-8,EMI,Universal Music Publishing Group,BMI,Vallenato,753520,False,bbautista@example.com
Michael Hansen,Prove how maybe yet.,7,Weight and.,2001-06-04,Michael Dixon,Joshua White,978-0-360-23320-1,Sony Music,Sony/ATV Music Publishing,SESAC,Electronic,460148,False,robert17@example.org
Jason Moreno,Card TV side manager fine.,2,Themselves material.,2016-02-16,Martha Watson,Grant Lloyd,978-1-4955-2309-0,Sony Music,Sony/ATV Music Publishing,BMI,Rock,258820,False,larryroberts@example.org
Dr. Maxwell Smith,Year open.,2,Worker cover know commercial.,2015-06-12,Omar Singleton,Brian Hernandez,978-1-5027-9912-8,Warner Music Group,Universal Music Publishing Group,BMI,Rock,459308,False,davisaudrey@example.net
Jenna Ramirez,Avoid reflect.,1,Increase main.,2005-11-28,Glenn Obrien,Courtney Cohen,978-0-05-725326-0,Warner Music Group,Warner/Chappell Music,SESAC,Vallenato,781978,False,samantha57@example.com
Bianca Pena,Sometimes enough whatever catch far.,4,None poor technology.,2004-05-03,Joy Walters,Jamie Buck,978-1-83055-228-0,Universal Music Group,Warner/Chappell Music,SESAC,Country,63680,False,sean81@example.net
Patrick Burnett,Especially important cause buy.,7,Which vote.,2019-12-11,James Smith,Jonathan Lopez,978-1-887754-85-9,Sony Music,Universal Music Publishing Group,ASCAP,Country,33535,False,jaclynvargas@example.org
Andrew Roberts,Statement administration surface.,6,Activity cold.,2010-11-06,Joshua Vazquez,Christian Morrow,978-0-499-06395-3,EMI,Warner/Chappell Music,SESAC,Merengue,588840,False,trevorwells@example.net
Michael Cordova,End look century.,1,Know open tree.,2014-08-02,Diane Ward,Russell Fleming,978-0-583-47509-9,Universal Music Group,Kobalt Music Group,ASCAP,Rock,481447,False,nicole86@example.net
Charlotte Nixon,Less federal his our level.,3,Guy name.,2015-02-11,Rachel Taylor,Stephen Gray,978-1-81972-455-4,Warner Music Group,Kobalt Music Group,SESAC,Jazz,89952,False,julian90@example.com
Sherry Wallace,War easy glass suddenly.,11,Campaign drop data.,2017-01-09,Carol Little,Andrea Smith,978-0-08-185949-0,Sony Music,Warner/Chappell Music,BMI,Reggeton,837414,False,adavis@example.com
Mr. Anthony Davis,Candidate actually behavior.,12,Minute treatment.,2021-03-28,Ian Miller,Tiffany Nelson,978-0-411-25200-7,Universal Music Group,Universal Music Publishing Group,SESAC,Hip Hop,596463,False,mason07@example.org
Elijah Mclaughlin,Stop owner of become central.,6,Away.,2004-03-10,Ashley Brown,Kimberly Rodriguez,978-0-07-809566-5,Warner Music Group,Sony/ATV Music Publishing,BMI,Pop,439209,False,phall@example.org
Brian Miller,Likely sound boy.,4,Feeling star.,2007-11-24,Kenneth Watkins,Shannon Collins,978-1-193-74374-5,Sony Music,Sony/ATV Music Publishing,BMI,Pop,340044,False,xsims@example.org
Brian Hall,Right beautiful at else.,9,Case space.,2003-07-19,Kathryn Brooks,Jason Pennington,978-1-191-33542-3,Universal Music Group,Sony/ATV Music Publishing,BMI,Pop,65628,False,phernandez@example.com
Veronica Cuevas,Each agent feel him.,11,Day benefit.,2016-05-13,Lisa Smith,Amy West MD,978-0-12-290197-3,Warner Music Group,Universal Music Publishing Group,ASCAP,Hip Hop,113973,False,ibrown@example.net
Benjamin Clark,Military plant western.,10,Enjoy.,2004-10-14,Nathan Brown,Derek Gordon,978-0-350-58205-0,Sony Music,Sony/ATV Music Publishing,ASCAP,Vallenato,748322,False,ucantu@example.net
Paige Moody,Some everybody no top.,8,Teach help sit.,2010-04-19,Aaron Mcmillan,Brittney Jefferson,978-1-306-76347-9,EMI,Kobalt Music Group,SESAC,Pop,70427,False,lisacampbell@example.net
Jonathon Wolfe,Business professional recently.,7,Career.,2008-04-01,Brooke Richardson,Beth Davis,978-1-4331-8841-1,Warner Music Group,Universal Music Publishing Group,ASCAP,Rock,798828,False,christineturner@example.com
Daniel Wright,Writer positive story.,11,Investment threat specific.,2006-03-07,Matthew Lawrence,Mary Gomez,978-1-230-87753-2,EMI,Warner/Chappell Music,SESAC,Merengue,280091,False,kbrown@example.net
Kevin Morris,Few early time money treat.,6,Speech situation it.,2006-08-04,Melissa Garrison,Elizabeth Carter,978-0-671-34108-4,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Hip Hop,459384,False,rboyle@example.net
Kimberly Cummings,Dinner just suggest foreign.,10,Drop interesting.,2002-05-18,William Sanders,William Mayo,978-0-6489497-1-8,Universal Music Group,Sony/ATV Music Publishing,BMI,Reggae,764877,False,adickerson@example.com
Richard Conner,Add hundred.,10,Learn glass grow.,2018-11-29,Linda Phelps,Denise Matthews,978-1-77587-201-6,Warner Music Group,Kobalt Music Group,ASCAP,Country,310978,False,royshelby@example.com
Anthony Ponce,Network behind firm visit agreement.,3,Challenge likely.,2015-04-05,Andrew Carey,Ryan Wagner,978-0-339-56515-9,Sony Music,Universal Music Publishing Group,SESAC,Country,368909,False,michaelcook@example.org
Desiree Mccarthy,Degree green.,6,Lead often.,2006-08-08,Jessica Barton,Matthew Smith,978-0-15-374760-1,EMI,Universal Music Publishing Group,ASCAP,Electronic,822971,False,patricia78@example.org
Teresa Hunt,Hospital page.,1,Board friend walk water.,2018-06-18,Jamie Cunningham,Deborah Clark,978-0-7648-9663-7,Sony Music,Warner/Chappell Music,SESAC,Salsa,899389,False,lcase@example.net
Stephen Mullen,Experience eat wind country subject.,8,Door most.,2008-04-12,Collin Thomas,Daniel Kelly,978-0-7999-8930-4,Universal Music Group,Universal Music Publishing Group,BMI,Reggeton,990628,False,patrick21@example.net
David Santos,Military card yourself six.,4,Great next section.,2011-11-25,Mary Walters,Frederick Padilla,978-1-04-503308-6,EMI,Sony/ATV Music Publishing,ASCAP,Salsa,25933,False,sherrylindsey@example.net
Caleb Robertson,War early none together.,9,Hear without buy whatever.,2020-04-15,Christopher Allen,Donald Richards,978-0-457-48933-7,Sony Music,Warner/Chappell Music,BMI,Reggae,769046,False,dsingleton@example.org
Sarah Kramer,Follow challenge however support growth.,10,Agreement exactly station.,2012-11-13,Gregory Fischer,Richard Vasquez,978-0-7707-1164-1,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Classical,848678,False,johnsonkimberly@example.org
Brian Garza,Agreement against.,7,Deal enough hard region.,2006-06-30,Robert Gonzalez,Jared Warren,978-1-227-08114-0,EMI,Sony/ATV Music Publishing,SESAC,Electronic,599542,False,johncastro@example.net
Michael Jones,Nature among ago.,11,Hot wait new.,2014-01-10,Denise Herring,Sandra Velazquez,978-0-7577-5773-0,Universal Music Group,Sony/ATV Music Publishing,SESAC,Rock,131379,False,scotttaylor@example.com
Erik Garcia,Quite yet mouth red summer.,4,Customer growth.,2002-10-27,Jeffery Clark,Stacy Hughes,978-0-322-57842-5,Universal Music Group,Universal Music Publishing Group,ASCAP,Electronic,528905,False,tgiles@example.net
Thomas Graves,Give wonder.,8,Available help whose about.,2010-04-12,Adam Oliver,Deborah Kaiser,978-0-17-593455-3,Sony Music,Universal Music Publishing Group,SESAC,Classical,487897,False,valerierodriguez@example.org
Tommy Jones,Dog bill guy officer.,7,Anyone next want.,2011-07-02,Danielle Boone,Alexander Erickson,978-0-497-05984-2,EMI,Kobalt Music Group,BMI,Vallenato,797362,False,fgreen@example.com
Dr. Jessica Garcia MD,Enter industry people.,8,Item wife way.,2021-10-05,Jordan Carter DDS,Jesse Dalton,978-0-09-154385-3,Universal Music Group,Universal Music Publishing Group,SESAC,Vallenato,287716,False,kimberlyhorne@example.org
Michelle Nguyen,Watch home.,6,Century miss.,2022-01-29,David Rios,Harold Nguyen,978-1-75055-966-6,Warner Music Group,Universal Music Publishing Group,ASCAP,Jazz,852896,False,andrewphillips@example.net
Rhonda Johnson,Present program.,9,Up recent.,2008-09-20,Daniel Snyder,Douglas Wells,978-1-114-52500-9,Universal Music Group,Kobalt Music Group,SESAC,Merengue,293115,False,terri10@example.net
Christina Stanley,Entire the skin organization before.,4,Down room.,2009-08-30,Ashley Gaines,Andrew Austin,978-1-68495-487-2,Sony Music,Kobalt Music Group,BMI,Reggae,548934,False,wilsontonya@example.com
Christopher Hubbard,Plan owner response although.,9,Morning who part.,2002-01-02,Austin Patel,David Cox,978-0-575-62296-8,EMI,Warner/Chappell Music,SESAC,Electronic,527579,False,rbaker@example.net
Andrew Smith,Popular member maintain.,12,Century.,2011-08-10,Meagan Thompson,Samantha Thomas,978-1-72824-329-0,Sony Music,Universal Music Publishing Group,SESAC,Salsa,493913,False,jmorales@example.com
Kara Williams,Receive pay since happen.,9,Ok we day.,2015-05-14,Tony Mayer,Jennifer Thomas,978-0-942083-15-6,Sony Music,Universal Music Publishing Group,BMI,Merengue,232684,False,adamsamanda@example.com
Valerie Ramsey,Successful teach focus.,11,Allow brother huge.,2008-08-17,Anthony Nielsen,Brian Clark DDS,978-0-204-15039-8,Sony Music,Universal Music Publishing Group,BMI,Reggae,718808,False,hopkinslori@example.org
John Hudson,Set team walk gas.,8,People money truth.,2021-05-31,Rebekah Perez,James Barnes,978-1-360-13288-4,Warner Music Group,Sony/ATV Music Publishing,BMI,Merengue,111646,False,kbarton@example.net
Kenneth Conner,Argue maintain.,10,Song catch could.,2013-08-30,Sarah Perry,Maria Ware,978-0-86648-989-8,EMI,Kobalt Music Group,ASCAP,Country,481948,False,tracy54@example.org
Antonio Byrd,Indeed ago.,11,Town Democrat.,2013-01-04,Suzanne Walsh,Casey Campbell,978-1-349-74583-8,Universal Music Group,Warner/Chappell Music,ASCAP,Rock,341408,False,mortega@example.net
Stephen Cowan,Language color nearly hundred.,9,Husband require.,2023-12-27,Nichole Campbell,Deborah Keller,978-1-174-58072-7,Universal Music Group,Universal Music Publishing Group,ASCAP,Electronic,200786,False,karenhunt@example.org
Joseph Riddle,Study center tell weight.,7,High forget character.,2019-08-07,Joseph Nguyen,Nicholas Mclaughlin,978-1-154-73916-9,Warner Music Group,Universal Music Publishing Group,ASCAP,Merengue,637167,False,owilliams@example.net
Phillip Shelton,Type town discover.,8,Sense protect.,2008-03-07,Kelly Dennis,Justin Mckenzie,978-0-17-996762-5,Universal Music Group,Universal Music Publishing Group,ASCAP,Jazz,829302,False,morganriddle@example.net
Dr. Marie Durham,Bit toward class miss.,6,Save purpose.,2003-11-18,Jason Parrish,Nicholas Eaton,978-1-362-90894-4,Universal Music Group,Universal Music Publishing Group,BMI,Vallenato,807630,False,cory59@example.com
Sarah Gardner,Us program then low early.,5,Social imagine theory.,2009-05-31,Frances Zavala,James Stewart,978-0-524-88850-6,Sony Music,Warner/Chappell Music,BMI,Salsa,482480,False,nicolebates@example.org
Samantha Schmitt,Actually detail window action.,2,Themselves to.,2019-08-03,Jackie Perez,Kerry Merritt,978-1-894526-94-4,Universal Music Group,Universal Music Publishing Group,BMI,Merengue,246135,False,mary47@example.com
Dr. Jose Zhang,Century other page coach leader.,9,Road number establish.,2001-11-11,Alexander Hall,Steve Smith,978-1-59176-939-2,EMI,Warner/Chappell Music,SESAC,Rock,129980,False,arianafernandez@example.net
Matthew Ochoa,Society anyone throw.,9,Minute task standard.,2004-08-13,Adam Gross,Richard Williamson,978-1-355-02516-0,EMI,Kobalt Music Group,BMI,Electronic,139628,False,lisajames@example.com
Autumn Morgan,Town foreign item.,12,Hundred eat various ok.,2001-11-05,Angela Harris,Rodney Fletcher,978-0-8038-4324-0,Sony Music,Sony/ATV Music Publishing,SESAC,Salsa,231990,False,johnnywagner@example.com
Thomas Paul,Peace environmental reach.,7,Medical mind soon.,2021-08-01,Daisy Jones,Brooke Lewis,978-1-67619-596-2,Warner Music Group,Warner/Chappell Music,BMI,Pop,16232,False,mark58@example.com
William Howard,Purpose Mrs reflect.,12,Six sit.,2024-03-03,Vanessa Holland,Matthew Norton,978-1-886533-80-6,Universal Music Group,Kobalt Music Group,SESAC,Vallenato,502046,False,udixon@example.org
Jessica Baker,Page job leader face.,4,Room per.,2021-04-08,Eric Pugh,Dylan Sanchez,978-0-252-78389-0,Universal Music Group,Kobalt Music Group,ASCAP,Pop,769980,False,gbeard@example.com
Daniel Baker,Inside air building order.,10,Game forget.,2013-06-28,Joshua Dixon,Adam Mendoza,978-0-240-20358-4,Sony Music,Sony/ATV Music Publishing,ASCAP,Salsa,294721,False,taylormichael@example.net
Mary Goodwin,View economic public marriage meet.,4,War word result.,2022-10-02,Brandon Hayes,Robin Smith,978-0-900556-21-0,Universal Music Group,Universal Music Publishing Group,BMI,Reggeton,866900,False,elewis@example.net
Nathan Adkins,Music do fall.,11,Four cell.,2000-02-10,Victoria Johnson,Sandra Arnold,978-0-931870-14-9,Sony Music,Universal Music Publishing Group,ASCAP,Reggeton,554273,False,lucerosandra@example.net
Roy Burns,True call full our.,11,Party well glass.,2014-02-03,Michael Hendricks,Carolyn Ford,978-0-19-971681-4,Sony Music,Kobalt Music Group,ASCAP,Electronic,668973,False,elizabeth34@example.net
Melissa Curry,Maybe trouble.,1,Over night design role.,2012-06-06,Kristen Arroyo,Andrea Hanson,978-0-19-120218-6,Universal Music Group,Kobalt Music Group,BMI,Classical,322532,False,aobrien@example.net
Amanda Carpenter,Practice decide.,11,Set look cultural.,2022-10-16,Dean Day,Whitney Kennedy,978-0-18-385419-5,Sony Music,Warner/Chappell Music,ASCAP,Classical,884109,False,kellymatthew@example.net
Gregory Nelson,Significant body commercial.,5,Article century environment.,2020-07-11,Robert Paul,Alison King,978-1-396-70871-8,Sony Music,Warner/Chappell Music,BMI,Electronic,734337,False,brenda27@example.org
Michelle Garcia,Case season.,9,Rest modern.,2003-07-10,Leslie Collins,Timothy Clarke,978-0-09-382890-3,Universal Music Group,Universal Music Publishing Group,ASCAP,Pop,353576,False,zacharyblack@example.com
Christopher Baker,Structure reason stage key.,7,Finally hit responsibility.,2004-10-10,Melissa Turner,Jason Salazar,978-0-537-24920-2,Sony Music,Warner/Chappell Music,BMI,Reggae,174486,False,smithrebecca@example.com
Melinda Rogers,Inside involve prevent indicate.,2,Threat fly international.,2000-02-09,Daniel Hill,Karen Glover,978-0-10-276980-7,Universal Music Group,Universal Music Publishing Group,SESAC,Reggeton,68942,False,craigdavid@example.net
Daniel Murphy,What although.,10,Stuff argue different.,2022-09-14,Jennifer Cole,Fernando Fox,978-1-5380-7202-8,Sony Music,Sony/ATV Music Publishing,SESAC,Classical,421633,False,alejandro77@example.org
Daniel Baldwin,Defense something we long fear.,7,Agency benefit.,2019-01-10,Elizabeth Jackson,Erica Benton,978-0-231-20218-3,Sony Music,Universal Music Publishing Group,BMI,Jazz,546614,False,johngiles@example.com
William Craig,Spring under such old.,9,Career capital argue.,2012-08-07,Samantha Johnston,Bryan Rice,978-0-627-80524-0,Universal Music Group,Kobalt Music Group,SESAC,Jazz,761277,False,owensmike@example.org
Crystal Scott,Shake type shake.,11,Though health.,2005-09-12,Erica Adams,Lori Bowman,978-0-436-51136-3,Universal Music Group,Warner/Chappell Music,SESAC,Jazz,579476,False,greenderek@example.com
Charles Martin,Who take positive.,6,Else ball.,2022-05-12,Christopher Brown,Thomas Krause,978-1-05-395066-5,Universal Music Group,Sony/ATV Music Publishing,SESAC,Country,589219,False,jonathanhill@example.org
Stephanie Fernandez,Bad because.,10,Value writer suddenly.,2015-08-11,Richard Adams,Albert Wall,978-0-324-40133-2,Warner Music Group,Sony/ATV Music Publishing,BMI,Reggeton,207204,False,ronaldbailey@example.com
Mark Trevino,Land police level.,11,Anyone bill.,2004-05-01,Vanessa Baker,Carmen Hood,978-1-62092-183-8,EMI,Universal Music Publishing Group,SESAC,Country,354550,False,kylecruz@example.com
Ryan Camacho,Citizen old investment.,8,Position area.,2014-06-05,Cynthia Gonzalez,Michelle Johnson,978-1-296-12720-6,Sony Music,Warner/Chappell Music,SESAC,Country,738394,False,johnsonsamuel@example.org
Alexander Benton Jr.,Five trial loss fund.,5,Peace world board.,2005-05-17,Tracy Thomas,Kyle Carr,978-1-315-88752-4,Warner Music Group,Warner/Chappell Music,BMI,Classical,380044,False,brownfernando@example.com
Jennifer Lozano,Including respond image.,3,Party throughout.,2020-06-12,Mr. David Curtis,Jason Cabrera,978-0-7183-9877-4,EMI,Universal Music Publishing Group,ASCAP,Reggeton,243235,False,michelle46@example.com
Corey Hernandez,Cultural politics player.,12,Just good.,2018-03-06,Abigail Hill,Jeffery Bowman,978-1-08-392893-1,Universal Music Group,Universal Music Publishing Group,BMI,Electronic,818914,False,kerrdavid@example.com
Todd Dominguez,Year protect hair.,1,Study option total.,2005-12-29,Eric Calhoun,Joshua Charles,978-1-378-92694-9,Universal Music Group,Sony/ATV Music Publishing,SESAC,Classical,785196,False,jeffsingh@example.com
Jennifer Bryant,Mother huge according let.,2,Minute foreign turn.,2020-10-13,David Thomas,Ashley Koch,978-0-918044-25-9,Sony Music,Sony/ATV Music Publishing,ASCAP,Reggae,932995,False,valerie05@example.net
Mr. Samuel Herman,Size cost reveal.,6,Form strategy.,2004-04-08,Austin Wood,Christine Warner,978-1-886501-01-0,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Salsa,385809,False,smithariel@example.org
Jennifer Walton,Market wide close.,7,Alone any data.,2017-11-01,Shelby Martin,Cassandra Kelly,978-0-632-84505-7,Warner Music Group,Universal Music Publishing Group,BMI,Reggae,202177,False,katrinaking@example.org
Phillip Aguilar MD,Establish economy.,8,The partner.,2000-09-29,Matthew Clark,Marie Jackson,978-0-85505-734-3,EMI,Kobalt Music Group,BMI,Electronic,309988,False,ijohnson@example.com
Ashley Banks,Present through reason.,8,Third support have also.,2019-11-04,Tiffany Hall MD,Erin Holmes,978-0-7921-4506-6,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Country,312016,False,duranspencer@example.org
David Allen,Laugh military.,7,On his.,2004-07-19,Heather Johnson,Trevor Jordan,978-1-957051-92-5,Warner Music Group,Universal Music Publishing Group,SESAC,Electronic,969260,False,ymorgan@example.org
Miss Debra Dudley,You will own.,12,Exactly much.,2020-08-07,Robert Williams,Timothy Roberts,978-1-117-58824-7,Universal Music Group,Universal Music Publishing Group,ASCAP,Hip Hop,517947,False,jeffrey96@example.com
Kristine Norris,Along idea.,2,Other fall three.,2007-09-27,Antonio Gibson,William Hernandez,978-0-550-55102-3,Universal Music Group,Kobalt Music Group,ASCAP,Classical,695926,False,ronald56@example.com
Jeffery Ferguson,Record as southern threat loss.,6,Ahead audience measure.,2000-05-26,Shannon Brown,Heather Stephenson,978-0-88795-769-7,Warner Music Group,Warner/Chappell Music,BMI,Pop,93946,False,yoneal@example.net
Mr. Michael Bowman,Final defense nice.,11,Job dream small.,2017-08-07,Michael Jackson,Kimberly Cruz,978-0-582-21446-0,Warner Music Group,Kobalt Music Group,SESAC,Electronic,282688,False,whitevictoria@example.org
Daniel Hill,Believe writer police.,1,Form science policy.,2010-02-07,Jacqueline Collins,David Mcclain,978-0-9842722-0-4,Warner Music Group,Warner/Chappell Music,BMI,Country,382996,False,roberthughes@example.com
Kiara Roach,Change near.,2,Color suffer.,2022-02-10,Matthew Wright,Matthew Walker MD,978-0-612-31541-9,Warner Music Group,Universal Music Publishing Group,SESAC,Country,759943,False,qgomez@example.com
Heidi Gibson,Their conference break arrive business.,2,Marriage between.,2010-04-24,Rachel Scott,Jonathan Mason,978-0-377-48160-2,Universal Music Group,Kobalt Music Group,ASCAP,Country,96234,False,xcarr@example.com
Tonya Rivera,Affect tend produce.,3,Program TV green.,2011-01-06,Michelle Jackson MD,Christine Griffin PhD,978-0-653-50023-2,EMI,Sony/ATV Music Publishing,ASCAP,Rock,716708,False,harrissheena@example.com
John Camacho,Door teach.,11,Gun far hundred.,2002-02-28,Joseph Whitehead,Clinton Hill,978-1-385-52308-7,EMI,Sony/ATV Music Publishing,BMI,Pop,409226,False,hannah91@example.net
Dale Young,Much simple service line.,7,Actually scene few.,2015-01-01,Amy Hoffman,Nicole Richards,978-0-298-17517-8,Universal Music Group,Universal Music Publishing Group,SESAC,Electronic,84010,False,jacob49@example.com
Lori Jones,Sell husband federal time world.,11,Apply trip head.,2017-10-15,Nicole Watson,Laura Yang,978-0-16-527043-2,Warner Music Group,Kobalt Music Group,ASCAP,Classical,915146,False,jeanette23@example.com
Dr. Joseph Anderson,Hour science news at attack.,8,American space.,2013-08-30,Tracy Harrison,Joshua Johnson,978-1-201-52906-4,Universal Music Group,Universal Music Publishing Group,ASCAP,Hip Hop,841975,False,johnjohnson@example.net
